in s,C2 in V
-1.1904051E-01,2.52805E+00
-1.1903590E-01,2.46945E+00
-1.1903130E-01,2.56711E+00
-1.1902669E-01,2.52805E+00
-1.1902208E-01,2.52805E+00
-1.1901747E-01,2.46945E+00
-1.1901286E-01,2.50852E+00
-1.1900826E-01,2.46945E+00
-1.1900365E-01,2.46945E+00
-1.1899904E-01,2.44992E+00
-1.1899443E-01,2.54758E+00
-1.1898982E-01,2.54758E+00
-1.1898522E-01,2.46945E+00
-1.1898061E-01,2.48898E+00
-1.1897600E-01,2.46945E+00
-1.1897139E-01,2.46945E+00
-1.1896678E-01,2.43039E+00
-1.1896218E-01,2.44992E+00
-1.1895757E-01,2.48898E+00
-1.1895296E-01,2.48898E+00
-1.1894835E-01,2.52805E+00
-1.1894374E-01,2.52805E+00
-1.1893914E-01,2.52805E+00
-1.1893453E-01,2.48898E+00
-1.1892992E-01,2.46945E+00
-1.1892531E-01,2.56711E+00
-1.1892070E-01,2.44992E+00
-1.1891610E-01,2.48898E+00
-1.1891149E-01,2.46945E+00
-1.1890688E-01,2.50852E+00
-1.1890227E-01,2.46945E+00
-1.1889766E-01,2.48898E+00
-1.1889306E-01,2.50852E+00
-1.1888845E-01,2.50852E+00
-1.1888384E-01,2.39133E+00
-1.1887923E-01,2.54758E+00
-1.1887462E-01,2.44992E+00
-1.1887002E-01,2.48898E+00
-1.1886541E-01,2.54758E+00
-1.1886080E-01,2.52805E+00
-1.1885619E-01,2.48898E+00
-1.1885158E-01,2.48898E+00
-1.1884698E-01,2.56711E+00
-1.1884237E-01,2.52805E+00
-1.1883776E-01,2.44992E+00
-1.1883315E-01,2.50852E+00
-1.1882854E-01,2.44992E+00
-1.1882394E-01,2.48898E+00
-1.1881933E-01,2.46945E+00
-1.1881472E-01,2.50852E+00
-1.1881011E-01,2.50852E+00
-1.1880550E-01,2.54758E+00
-1.1880090E-01,2.54758E+00
-1.1879629E-01,2.60617E+00
-1.1879168E-01,2.52805E+00
-1.1878707E-01,2.52805E+00
-1.1878246E-01,2.58664E+00
-1.1877786E-01,2.52805E+00
-1.1877325E-01,2.48898E+00
-1.1876864E-01,2.48898E+00
-1.1876403E-01,2.50852E+00
-1.1875942E-01,2.54758E+00
