in s,C2 in V
-1.09299852E+00,7.12891E-01
-1.09298928E+00,7.32422E-01
-1.09298004E+00,6.93359E-01
-1.09297080E+00,6.73828E-01
-1.09296156E+00,5.95703E-01
-1.09295232E+00,6.15234E-01
-1.09294308E+00,4.39453E-01
-1.09293384E+00,3.02734E-01
-1.09292460E+00,8.78906E-02
-1.09291536E+00,-6.83594E-02
-1.09290612E+00,-2.05078E-01
-1.09289688E+00,-4.19922E-01
-1.09288764E+00,-5.56641E-01
-1.09287840E+00,-6.34766E-01
-1.09286916E+00,-6.54297E-01
-1.09285992E+00,-6.34766E-01
-1.09285068E+00,-7.51953E-01
-1.09284144E+00,-7.91016E-01
-1.09283220E+00,-7.91016E-01
-1.09282296E+00,-7.71484E-01
-1.09281372E+00,-8.30078E-01
-1.09280448E+00,-8.10547E-01
-1.09279524E+00,-8.49609E-01
-1.09278600E+00,-8.69141E-01
-1.09277676E+00,-9.47266E-01
-1.09276752E+00,-6.93359E-01
-1.09275828E+00,-4.78516E-01
-1.09274904E+00,-2.44141E-01
-1.09273980E+00,6.83594E-02
-1.09273056E+00,3.61328E-01
-1.09272132E+00,6.15234E-01
-1.09271208E+00,7.32422E-01
-1.09270284E+00,7.71484E-01
-1.09269360E+00,7.91016E-01
-1.09268436E+00,7.91016E-01
-1.09267512E+00,7.32422E-01
-1.09266588E+00,7.32422E-01
-1.09265664E+00,6.73828E-01
-1.09264740E+00,6.34766E-01
-1.09263816E+00,7.12891E-01
-1.09262892E+00,6.34766E-01
-1.09261968E+00,5.76172E-01
-1.09261044E+00,4.19922E-01
-1.09260120E+00,3.02734E-01
-1.09259196E+00,8.78906E-02
-1.09258272E+00,-9.76562E-03
-1.09257348E+00,-2.05078E-01
-1.09256424E+00,-4.19922E-01
-1.09255500E+00,-5.76172E-01
-1.09254576E+00,-6.34766E-01
-1.09253652E+00,-6.54297E-01
-1.09252728E+00,-6.73828E-01
-1.09251804E+00,-7.91016E-01
-1.09250880E+00,-7.32422E-01
-1.09249956E+00,-7.91016E-01
-1.09249032E+00,-8.10547E-01
-1.09248108E+00,-7.51953E-01
-1.09247184E+00,-8.49609E-01
-1.09246260E+00,-9.08203E-01
-1.09245336E+00,-9.27734E-01
-1.09244412E+00,-9.47266E-01
-1.09243488E+00,-8.49609E-01
-1.09242564E+00,-6.34766E-01
-1.09241640E+00,-2.24609E-01
-1.09240716E+00,9.76562E-03
-1.09239792E+00,3.61328E-01
-1.09238868E+00,5.76172E-01
-1.09237944E+00,7.32422E-01
-1.09237020E+00,7.51953E-01
-1.09236096E+00,7.91016E-01
-1.09235172E+00,9.08203E-01
-1.09234248E+00,7.12891E-01
-1.09233324E+00,7.51953E-01
-1.09232400E+00,7.71484E-01
-1.09231476E+00,7.12891E-01
-1.09230552E+00,7.51953E-01
-1.09229628E+00,5.95703E-01
-1.09228704E+00,6.93359E-01
-1.09227780E+00,4.78516E-01
-1.09226856E+00,4.00391E-01
-1.09225932E+00,2.92969E-02
-1.09225008E+00,-4.88281E-02
-1.09224084E+00,-2.05078E-01
-1.09223160E+00,-4.19922E-01
-1.09222236E+00,-5.76172E-01
-1.09221312E+00,-5.37109E-01
-1.09220388E+00,-6.93359E-01
-1.09219464E+00,-6.54297E-01
-1.09218540E+00,-7.32422E-01
-1.09217616E+00,-7.71484E-01
-1.09216692E+00,-6.54297E-01
-1.09215768E+00,-7.71484E-01
-1.09214844E+00,-8.30078E-01
-1.09213920E+00,-8.30078E-01
-1.09212996E+00,-8.88672E-01
-1.09212072E+00,-9.27734E-01
-1.09211148E+00,-9.66797E-01
-1.09210224E+00,-7.51953E-01
-1.09209300E+00,-6.15234E-01
-1.09208376E+00,-2.83203E-01
-1.09207452E+00,-9.76562E-03
-1.09206528E+00,3.41797E-01
-1.09205604E+00,5.76172E-01
-1.09204680E+00,7.71484E-01
-1.09203756E+00,7.91016E-01
-1.09202832E+00,7.91016E-01
-1.09201908E+00,6.93359E-01
-1.09200984E+00,8.49609E-01
-1.09200060E+00,6.73828E-01
-1.09199136E+00,6.93359E-01
